id,label,v0,v1,v2,v3,v4,v5,v6,v7
67,furniture,1.3535,9.3774,0.1269,6.0561,-0.0238,7.0085,3.2972,6.7849
68,furniture,1.6959,7.8090,3.2441,5.7898,2.8482,8.7952,3.4620,7.6678
69,furniture,2.3557,10.4421,2.8955,6.6315,1.0958,6.7613,1.5066,5.9334
70,furniture,1.9152,8.4012,3.0614,6.0814,3.0802,8.8873,2.8084,6.2165
71,furniture,2.6581,8.2256,1.2622,6.9184,2.3144,6.9204,3.2278,5.2542
72,furniture,3.6034,9.4975,2.6970,7.4361,-0.8919,6.6124,2.6475,5.7134
73,furniture,2.8573,10.3968,1.5881,5.9950,2.2825,9.9333,1.5332,7.2988
74,furniture,4.1856,6.0179,1.4627,6.4917,1.3753,8.9751,3.2900,4.8700
75,furniture,2.6185,7.3070,4.5293,6.2469,1.2361,8.6494,3.9155,7.5377
76,furniture,-0.0227,8.6456,1.7588,7.2823,0.2915,8.5356,2.0321,5.4608
77,furniture,2.8566,8.2900,2.2632,8.7414,1.4712,8.0385,3.3227,6.2564
78,furniture,2.5654,7.3599,2.5060,8.6352,0.7513,5.1047,4.9331,10.0592
79,furniture,1.5137,5.6758,2.6274,6.6565,1.7721,6.6639,3.6955,7.6294
80,furniture,0.2067,8.8390,5.4632,7.2064,1.5952,7.8296,3.7383,4.9232
81,furniture,2.1973,7.5314,5.2174,6.7910,4.0015,6.6755,3.7047,7.3833
82,furniture,0.9571,8.2129,4.4550,6.6114,-0.0304,7.9789,1.9171,6.5892
83,furniture,1.9021,5.9532,1.0612,7.5785,1.3727,4.9223,3.9418,7.3268
84,furniture,1.1434,6.4198,4.0030,7.4192,4.8591,8.5042,3.4652,6.7997
85,furniture,2.9801,8.7501,4.5021,6.3744,1.4775,7.4251,3.9490,8.7980
86,furniture,1.4494,7.4903,3.3769,6.7051,3.1425,5.2979,2.0080,6.0611
87,furniture,-0.7844,6.8436,1.9018,6.7587,3.3356,7.7059,1.7630,6.9317
88,furniture,3.2590,6.8288,1.9073,7.6703,1.7342,8.7770,2.9836,7.8420
89,furniture,0.7579,7.9855,2.7472,5.5409,0.1238,8.8229,2.5789,5.7733
90,furniture,1.8846,9.3536,0.2631,5.2040,0.8925,9.7534,3.3391,7.9208
91,furniture,0.6318,6.6566,3.5374,7.0699,2.6585,7.7748,3.3338,7.1897
92,furniture,2.9333,8.9684,1.0562,4.3033,3.2021,9.4253,1.7753,4.7682
93,furniture,2.1188,9.1170,5.1571,7.6196,1.5539,6.9282,3.0137,6.6409
94,furniture,0.7819,10.4585,5.1422,8.3633,0.8950,9.0260,3.7676,7.5311
95,furniture,3.4996,8.7624,3.8880,7.7643,2.4089,5.8597,3.1003,6.3326
96,furniture,0.4642,10.0182,5.0748,8.6311,2.3063,9.6208,3.0145,7.2434
97,furniture,0.6878,8.4764,3.0725,5.4368,1.9386,7.9043,5.1571,8.0731
98,furniture,2.0137,8.2985,3.0531,6.7565,0.7011,7.8187,2.1047,5.4996
99,furniture,2.6135,8.4695,0.8560,6.8528,3.1948,9.2711,4.2310,7.0467
100,furniture,0.9859,6.6996,3.4135,7.4551,3.5448,9.3200,2.8413,5.5070
101,furniture,1.6171,8.2607,2.7575,6.3065,2.3035,7.3953,2.2463,7.3737
102,furniture,1.5176,8.2929,3.3278,5.6327,1.4225,9.7253,1.6055,4.4600
103,furniture,-0.2342,8.0349,3.0371,6.8589,3.4570,4.7926,3.4751,8.8737
104,furniture,0.6467,7.5442,2.0965,5.9268,1.6085,9.7130,5.2049,6.5969
105,furniture,4.2861,8.0427,5.1044,6.8880,2.1573,8.4386,6.8146,8.0215
106,furniture,1.1513,9.1628,2.5658,6.4123,3.0903,8.0373,3.3343,7.0168
107,furniture,2.4039,8.5100,0.6756,7.7999,0.8216,6.2692,2.9299,7.1008
108,furniture,1.1678,8.9972,1.3894,6.5117,1.2982,7.9441,3.3346,5.7905
109,furniture,2.8691,8.0756,0.7297,4.6497,1.9852,7.7348,2.8759,6.9664
110,furniture,2.2707,9.1372,1.6667,5.5936,0.6880,8.3467,4.4939,6.4824
111,furniture,-1.0020,5.9552,2.0004,6.3307,1.5099,8.0463,2.6259,8.2592
112,furniture,1.1888,6.9652,3.5747,5.1572,2.4676,8.1231,2.8231,8.9059
113,furniture,1.2534,10.4724,2.7295,5.4676,2.0839,6.7085,2.0979,7.4764
114,furniture,2.6667,7.2534,4.1849,8.3890,3.7236,8.6353,4.6361,4.7430
115,furniture,1.6185,6.9596,3.1431,6.3143,1.8006,10.2586,2.7963,7.4966
116,furniture,1.7213,8.0909,3.0072,7.5380,3.3984,9.9769,3.3715,7.7075
117,furniture,0.6190,7.8945,4.1283,8.0392,2.2539,9.0637,3.5889,8.4404
118,furniture,2.3472,7.5732,3.4030,3.4833,2.4595,3.6219,0.9318,7.5421
119,furniture,2.5730,6.6051,2.1455,8.6446,1.4192,10.6915,2.9977,7.4896
120,clothing,6.9402,5.1572,-0.2028,8.8683,4.9573,3.3623,0.6930,8.1094
121,clothing,6.1092,5.0415,0.6606,8.8726,5.2677,5.7402,-0.1997,7.7501
122,clothing,6.3256,4.5052,-0.7002,9.5326,5.5560,3.1631,1.2754,9.8827
123,clothing,5.4493,5.7584,-0.6851,9.3972,4.6369,4.4207,2.0447,10.7751
124,clothing,7.1532,6.5778,0.8683,9.4233,5.9202,5.1454,1.1569,9.9885
125,clothing,4.9289,4.1249,0.5026,9.7607,5.0036,5.4083,1.8041,8.5502
126,clothing,5.9075,5.4546,-0.4818,10.7308,4.3991,3.0139,-0.2541,7.7747
127,clothing,5.0626,4.6714,0.5958,9.7436,5.4079,5.3793,1.4918,9.7394
128,clothing,2.4705,4.5627,-1.6163,9.0433,4.9944,6.2546,2.4252,9.2433
129,clothing,4.3996,5.5822,0.3665,8.9983,6.1834,4.3307,1.9668,9.8129
130,clothing,3.8542,6.1687,1.8383,9.1223,4.0852,3.9690,0.3548,9.6511
131,clothing,3.8532,5.5250,-0.4901,8.7551,5.1316,7.9342,-0.6528,10.7664
132,clothing,5.1798,5.4934,1.1420,9.5337,4.8156,6.7449,0.4522,10.3587
133,clothing,4.2268,4.9277,-0.2864,9.5460,6.7342,4.9072,0.7637,7.6625
134,clothing,4.7248,3.0886,-0.0955,9.2721,6.5828,8.3711,0.2961,10.7224
135,clothing,5.2925,4.8185,1.5191,9.0743,5.1325,4.5100,-0.6777,7.1476
136,clothing,5.7839,4.6680,0.2847,9.0102,5.9539,5.2164,0.2127,10.4716
137,clothing,6.8950,5.5935,2.1684,10.4904,6.3561,5.7369,1.7180,9.6236
138,clothing,3.6832,5.8409,-0.6270,8.0465,6.5643,6.0083,2.7849,8.6740
139,clothing,3.6173,4.7115,1.1224,9.0948,6.3604,4.5665,1.4224,7.8136
140,clothing,5.5404,5.0037,0.1002,8.7170,4.7790,4.6758,3.1256,8.8819
141,clothing,4.7073,2.4831,-0.0730,8.6843,4.1770,6.6580,0.8021,10.5461
142,clothing,5.0740,5.0447,0.8934,9.0046,7.0626,2.2165,-1.4019,8.3482
143,clothing,5.0174,5.8281,1.5677,8.5389,6.2229,6.2362,1.2209,10.1552
144,clothing,5.3272,4.3262,1.8374,9.1327,5.0016,6.7675,-1.9410,7.2988
145,clothing,3.5755,4.5641,0.6945,7.1912,3.8178,3.9670,3.9489,11.1621
146,clothing,4.5059,4.5637,-0.3790,6.7102,4.8597,3.8026,0.8982,7.0798
147,clothing,4.0856,5.1784,1.4395,9.5010,3.4154,6.0256,0.0397,9.7594
148,clothing,4.9872,3.3483,0.6206,9.4384,5.7356,4.8308,2.8381,10.2090
149,clothing,4.6920,5.9001,3.3206,11.3526,3.5264,3.8882,2.7819,7.7301
150,clothing,3.4130,4.4166,1.5043,8.8771,4.2193,4.1909,0.1452,7.9446
151,clothing,7.7380,5.3570,2.0641,8.4131,4.7769,4.1437,-2.1821,7.3464
152,clothing,2.8273,2.3003,-0.4344,10.5899,4.9467,6.5487,1.4932,9.9391
153,clothing,3.9189,5.6287,1.8745,8.3080,5.6714,5.6794,0.3405,7.6527
154,clothing,3.5790,5.1038,1.3924,8.0490,5.0319,5.6846,1.7418,10.8623
155,clothing,6.5324,3.7985,3.0203,8.3628,6.2538,5.0816,0.5054,6.8308
156,clothing,4.7941,3.1287,2.1608,10.8202,4.0437,5.3624,0.1295,8.2458
157,clothing,5.9294,4.9538,3.0876,8.4213,6.1992,5.1169,1.9549,8.4634
158,clothing,4.9405,4.8614,-0.0033,9.7945,5.7803,5.7123,2.8444,10.7392
159,clothing,4.5501,5.4477,0.2517,9.0280,4.2803,6.9441,1.4364,8.7384
160,clothing,6.4323,2.3953,-1.4169,9.9550,5.0726,5.3005,-0.5917,8.9721
161,clothing,7.4042,5.9890,1.2036,8.4731,4.5265,2.4450,1.3092,10.0146
162,clothing,3.1093,4.2063,-0.3890,7.8416,5.0642,2.4987,1.7371,9.9046
163,clothing,4.6987,2.0231,-0.1957,10.4795,1.6664,4.5830,-0.4160,9.9655
164,clothing,4.1899,5.4847,1.6786,11.2035,4.7565,5.4513,-0.7821,10.4285
165,clothing,4.0874,4.3271,0.9733,7.1245,5.2745,6.1610,1.3515,7.0933
166,clothing,4.8514,5.8904,-1.2536,7.7103,6.0519,5.3241,1.4944,11.2314
167,clothing,5.5623,5.7895,4.2529,8.7434,4.0425,5.5134,1.5268,8.3679
168,clothing,3.7611,7.7718,1.3922,8.1213,6.0991,4.8690,0.6965,9.6747
169,clothing,3.4497,5.4232,3.2955,9.5594,4.5485,4.3915,0.5076,8.6952
170,clothing,4.5466,6.0996,-1.0799,10.0344,4.5444,5.4523,-0.3524,10.5944
171,clothing,6.4948,6.1515,-0.8177,9.9949,5.4858,3.0737,0.9708,9.4374
172,clothing,5.6673,5.2127,1.3495,10.7683,6.4712,1.5595,0.6191,8.8024
173,clothing,2.8975,5.1130,2.4985,7.6961,5.4037,3.9010,0.1937,10.7729
174,clothing,4.3489,5.5547,-1.2455,11.2348,5.7232,4.7810,1.6907,7.3082
175,clothing,6.4190,4.6112,0.7551,8.4100,4.3032,5.8336,1.3071,9.7821
176,clothing,4.9894,5.6158,0.4974,11.6757,3.1185,6.5131,2.6415,7.9774
177,clothing,7.6751,6.1946,2.1654,9.0336,4.7393,4.7487,1.4686,10.6814
178,clothing,5.2176,3.9063,1.9893,10.1054,5.7856,5.8946,0.6749,7.8852
179,clothing,3.9582,3.0374,1.2843,8.8999,4.4720,1.4533,-0.4968,10.3450
